"filename", "language", "PHP", "SQL", "CSS", "comment", "blank", "total"
"c:\Users\take\Desktop\product-main\product-main\php_ec\cart-delete.php", "PHP", 7, 0, 0, 0, 2, 9
"c:\Users\take\Desktop\product-main\product-main\php_ec\cart-insert.php", "PHP", 20, 0, 0, 0, 2, 22
"c:\Users\take\Desktop\product-main\product-main\php_ec\cart-show.php", "PHP", 5, 0, 0, 0, 1, 6
"c:\Users\take\Desktop\product-main\product-main\php_ec\cart.php", "PHP", 27, 0, 0, 0, 1, 28
"c:\Users\take\Desktop\product-main\product-main\php_ec\css\gmmkpro.css", "CSS", 0, 0, 72, 0, 12, 84
"c:\Users\take\Desktop\product-main\product-main\php_ec\css\gmmmk2.css", "CSS", 0, 0, 72, 0, 12, 84
"c:\Users\take\Desktop\product-main\product-main\php_ec\css\menu.css", "CSS", 0, 0, 69, 0, 10, 79
"c:\Users\take\Desktop\product-main\product-main\php_ec\css\model-d.css", "CSS", 0, 0, 72, 0, 12, 84
"c:\Users\take\Desktop\product-main\product-main\php_ec\css\model-i.css", "CSS", 0, 0, 72, 0, 12, 84
"c:\Users\take\Desktop\product-main\product-main\php_ec\css\style.css", "CSS", 0, 0, 56, 0, 10, 66
"c:\Users\take\Desktop\product-main\product-main\php_ec\customer-input.php", "PHP", 30, 0, 0, 0, 0, 30
"c:\Users\take\Desktop\product-main\product-main\php_ec\customer-output.php", "PHP", 36, 0, 0, 0, 1, 37
"c:\Users\take\Desktop\product-main\product-main\php_ec\gmmk2.php", "PHP", 115, 0, 0, 0, 7, 122
"c:\Users\take\Desktop\product-main\product-main\php_ec\gmmkpro.php", "PHP", 119, 0, 0, 0, 7, 126
"c:\Users\take\Desktop\product-main\product-main\php_ec\haikeinomi.php", "PHP", 12, 0, 0, 0, 1, 13
"c:\Users\take\Desktop\product-main\product-main\php_ec\history.php", "PHP", 39, 0, 0, 0, 1, 40
"c:\Users\take\Desktop\product-main\product-main\php_ec\index.php", "PHP", 85, 0, 0, 0, 5, 90
"c:\Users\take\Desktop\product-main\product-main\php_ec\login-input.php", "PHP", 7, 0, 0, 0, 1, 8
"c:\Users\take\Desktop\product-main\product-main\php_ec\login-output.php", "PHP", 20, 0, 0, 0, 1, 21
"c:\Users\take\Desktop\product-main\product-main\php_ec\logout-input.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\Users\take\Desktop\product-main\product-main\php_ec\logout-output.php", "PHP", 10, 0, 0, 0, 1, 11
"c:\Users\take\Desktop\product-main\product-main\php_ec\menu.php", "PHP", 52, 0, 0, 0, 4, 56
"c:\Users\take\Desktop\product-main\product-main\php_ec\model-d.php", "PHP", 121, 0, 0, 0, 7, 128
"c:\Users\take\Desktop\product-main\product-main\php_ec\model-i.php", "PHP", 130, 0, 0, 0, 7, 137
"c:\Users\take\Desktop\product-main\product-main\php_ec\purchase-input.php", "PHP", 17, 0, 0, 0, 2, 19
"c:\Users\take\Desktop\product-main\product-main\php_ec\purchase-output.php", "PHP", 21, 0, 0, 0, 1, 22
"c:\Users\take\Desktop\product-main\product-main\php_ec\shop.sql", "SQL", 0, 41, 0, 0, 10, 51
"Total", "-", 876, 41, 413, 0, 131, 1461